Date,Humidity,Temperature
2018-08-03 03:16:08,38,29
2018-08-03 03:16:15,37,29
2018-08-03 03:16:22,37,29
2018-08-03 03:16:28,38,29
2018-08-03 03:16:35,38,29
2018-08-03 03:16:42,39,29
2018-08-03 03:16:49,38,29
2018-08-03 03:16:56,38,29
2018-08-03 03:17:03,38,29
2018-08-03 03:17:10,38,29
2018-08-03 03:17:17,38,29
2018-08-03 03:17:24,39,29
2018-08-03 03:17:31,39,29
2018-08-03 03:17:38,39,29
2018-08-03 03:17:45,39,29
2018-08-03 03:17:52,39,29
2018-08-03 03:17:59,39,29
2018-08-03 03:18:06,38,28
2018-08-03 03:18:13,38,29
2018-08-03 03:18:20,38,29
2018-08-03 03:18:27,38,29
2018-08-03 03:18:34,38,29
2018-08-03 03:18:41,38,29
2018-08-03 03:18:48,38,29
2018-08-03 03:18:54,37,28
2018-08-03 03:19:01,37,28
2018-08-03 03:19:07,36,28
2018-08-03 03:19:14,36,28
2018-08-03 03:19:21,36,28
2018-08-03 03:19:27,36,28
2018-08-03 03:19:33,35,28
2018-08-03 03:19:39,35,28
2018-08-03 03:19:45,35,28
2018-08-03 03:19:51,35,28
2018-08-03 03:19:57,35,28
2018-08-03 03:20:03,35,28
2018-08-03 03:20:09,35,28
2018-08-03 03:20:15,34,28
2018-08-03 03:20:22,34,28
2018-08-03 03:20:29,35,29
2018-08-03 03:20:36,34,28
2018-08-03 03:20:43,34,28
2018-08-03 03:20:49,34,28
2018-08-03 03:20:56,34,28
2018-08-03 03:21:02,34,28
2018-08-03 03:21:09,34,28
2018-08-03 03:21:15,34,28
2018-08-03 03:21:21,34,28
2018-08-03 03:21:28,34,28
2018-08-03 03:21:34,34,28
2018-08-03 03:21:40,33,27
2018-08-03 03:21:46,33,27
2018-08-03 03:21:52,33,27
2018-08-03 03:21:58,33,27
2018-08-03 03:22:05,34,28
2018-08-03 03:22:11,34,28
2018-08-03 03:22:18,34,28
2018-08-03 03:22:24,34,28
2018-08-03 03:22:31,34,28
2018-08-03 03:22:38,34,28
2018-08-03 03:22:44,33,28
2018-08-03 03:22:50,34,29
2018-08-03 03:22:56,34,29
2018-08-03 03:23:02,34,29
2018-08-03 03:23:08,34,29
2018-08-03 03:23:14,33,29
2018-08-03 03:23:21,33,29
2018-08-03 03:23:27,33,29
2018-08-03 03:23:33,32,28
2018-08-03 03:23:39,32,28
2018-08-03 03:23:45,33,29
2018-08-03 03:23:52,33,29
2018-08-03 03:23:59,33,29
2018-08-03 03:24:05,33,29
2018-08-03 03:24:11,32,28
2018-08-03 03:24:17,32,28
2018-08-03 03:24:23,32,28
2018-08-03 03:24:29,32,28
2018-08-03 03:24:36,32,28
2018-08-03 03:24:43,32,28
2018-08-03 03:24:49,32,28
2018-08-03 03:24:56,32,28
2018-08-03 03:25:02,32,28
2018-08-03 03:25:08,33,28
2018-08-03 03:25:15,33,28
2018-08-03 03:25:22,33,28
2018-08-03 03:25:29,33,28
2018-08-03 03:25:36,33,28
2018-08-03 03:25:43,33,28
2018-08-03 03:25:50,33,28
2018-08-03 03:25:57,34,28
2018-08-03 03:26:03,34,28
2018-08-03 03:26:10,34,28
2018-08-03 03:26:16,34,28
2018-08-03 03:26:23,34,28
2018-08-03 03:26:29,34,28
2018-08-03 03:26:35,34,28
2018-08-03 03:26:42,34,28
2018-08-03 03:26:48,34,28
2018-08-03 03:26:54,34,28
2018-08-03 03:27:00,34,28
2018-08-03 03:27:06,34,28
2018-08-03 03:27:13,34,28
2018-08-03 03:27:19,34,28
2018-08-03 03:27:26,34,28
2018-08-03 03:27:33,34,28
2018-08-03 03:27:40,34,28
2018-08-03 03:27:47,34,28
2018-08-03 03:27:54,34,28
2018-08-03 03:28:01,34,28
2018-08-03 03:28:07,33,28
2018-08-03 03:28:14,33,28
2018-08-03 03:28:21,33,28
2018-08-03 03:28:28,33,28
2018-08-03 03:28:34,33,28
2018-08-03 03:28:41,33,28
2018-08-03 03:28:47,33,28
2018-08-03 03:28:54,33,28
2018-08-03 03:29:01,32,28
2018-08-03 03:29:08,32,28
2018-08-03 03:29:14,32,28
2018-08-03 03:29:20,33,28
